City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
160,Dinan,FR,2021-07-20 17:02:53,48.4167,-2.25,87.01,57,5,12.44
161,Saint George,US,2021-07-20 17:00:10,37.1041,-113.5841,93.34,42,85,1.99
162,Diego De Almagro,CL,2021-07-20 17:02:54,-26.3667,-70.05,80.51,4,0,6.46
163,Upernavik,GL,2021-07-20 17:02:54,72.7868,-56.1549,40.71,87,100,10.02
164,Llaillay,CL,2021-07-20 17:02:55,-32.85,-70.9667,86.25,6,7,1.81
165,Basco,PH,2021-07-20 17:02:55,20.4487,121.9702,82.83,79,100,19.8
166,Srednekolymsk,RU,2021-07-20 17:02:55,67.45,153.6833,58.73,75,82,7.23
167,Kalabo,ZM,2021-07-20 17:02:56,-14.97,22.6814,65.08,28,2,3.8
168,Mardin,TR,2021-07-20 17:02:56,37.3131,40.7436,95.11,13,0,13.8
169,Richards Bay,ZA,2021-07-20 17:02:57,-28.783,32.0377,67.28,65,0,10.25
170,Cabo San Lucas,MX,2021-07-20 16:59:15,22.8909,-109.9124,95.81,56,71,7.2
171,Shubarkuduk,KZ,2021-07-20 17:02:57,49.1447,56.4872,85.5,30,52,7.74
172,Mount Isa,AU,2021-07-20 17:00:58,-20.7333,139.5,51.57,43,90,6.91
173,Geraldton,AU,2021-07-20 17:02:58,-28.7667,114.6,66.61,88,75,19.57
174,Ternate,ID,2021-07-20 17:02:58,0.8,127.4,79.65,82,87,4.85
175,Saint-Pierre,RE,2021-07-20 17:02:59,-21.3393,55.4781,71.28,69,20,19.57
176,Severo-Kurilsk,RU,2021-07-20 17:02:59,50.6789,156.125,49.8,92,35,4.63
177,Bouca,CF,2021-07-20 17:02:59,6.5105,18.2733,72.7,91,79,2.95
178,Elko,US,2021-07-20 17:03:00,41.0002,-115.5012,76.05,40,3,8.99
179,Fort Nelson,CA,2021-07-20 17:03:01,58.8053,-122.7002,67.68,57,45,0.65
